Players,Team,BYE,POS,PassingCompletions,PassingAttempts,PassingYardsYDS,PassingTDS,RushingAttempts,RushingYards,RushingTDS,Catches,ReceivingYards,ReceivingTDS,FantasyPts,YardsPerCatch,YardsPreRun,PasYardsPerPass,CatchPercent,PassCompPercent,PassingInterceoptions,Season,Week
Jalen Hurts,PHI,5,QB,22,30,258,2,10,47,1,,,,31.58,,,8.5,,0.72,0.00,2024,11
Lamar Jackson,BAL,14,QB,20,30,273,2,8,46,1,,,,29.26,,,9.1,,0.67,0.00,2024,11
Jayden Daniels,WAS,14,QB,18,28,204,2,11,62,1,,,,27.47,,,7.3,,0.65,0.00,2024,11
Jared Goff,DET,5,QB,24,30,277,3,2,4,0,,,,26.26,,,9.2,,0.78,0.00,2024,11
Brock Purdy,SF,9,QB,23,35,309,2,4,19,0,,,,25.83,,,8.9,,0.67,1.00,2024,11
Russell Wilson,PIT,9,QB,23,35,293,2,4,14,0,,,,24.51,,,8.4,,0.65,1.00,2024,11
Patrick Mahomes,KC,6,QB,27,37,253,2,5,29,0,,,,24.06,,,6.8,,0.74,1.00,2024,11
C.J. Stroud,HOU,14,QB,20,31,253,2,3,13,0,,,,22.42,,,8.2,,0.64,1.00,2024,11
Bo Nix,DEN,14,QB,23,33,187,2,6,31,0,,,,20.90,,,5.7,,0.70,1.00,2024,11
Sam Darnold,MIN,6,QB,22,32,239,2,4,16,0,,,,20.53,,,7.5,,0.70,1.00,2024,11
Joe Burrow,CIN,12,QB,24,34,239,2,4,15,0,,,,20.48,,,6.9,,0.69,1.00,2024,11
Justin Herbert,LAC,5,QB,21,31,242,2,4,12,0,,,,20.32,,,7.7,,0.68,1.00,2024,11
Drake Maye,NE,14,QB,21,31,231,1,6,25,0,,,,20.09,,,7.5,,0.69,1.00,2024,11
Aaron Rodgers,NYJ,12,QB,23,35,249,2,2,6,0,,,,20.07,,,7.1,,0.67,1.00,2024,11
Josh Allen,BUF,12,QB,20,31,226,1,6,25,1,,,,19.80,,,7.3,,0.65,1.00,2024,11
Jordan Love,GB,10,QB,19,31,241,2,2,7,0,,,,19.78,,,7.8,,0.60,1.00,2024,11
Tua Tagovailoa,MIA,6,QB,22,32,230,2,2,5,0,,,,19.07,,,7.3,,0.70,1.00,2024,11
Geno Smith,SEA,10,QB,24,35,257,1,4,15,0,,,,17.86,,,7.2,,0.68,2.00,2024,11
Kirk Cousins,ATL,12,QB,23,32,235,2,2,5,0,,,,17.28,,,7.3,,0.70,1.00,2024,11
Matthew Stafford,LAR,6,QB,23,34,245,1,2,4,0,,,,15.66,,,7.2,,0.67,1.00,2024,11
Joe Flacco,IND,14,QB,21,33,228,1,2,4,0,,,,14.82,,,6.8,,0.62,1.00,2024,11
Caleb Williams,CHI,7,QB,19,32,198,1,4,19,0,,,,14.80,,,6.2,,0.61,1.00,2024,11
Derek Carr,NO,12,QB,17,29,226,1,2,5,0,,,,14.79,,,7.8,,0.58,1.00,2024,11
Mac Jones,JAC,12,QB,21,34,236,1,3,9,0,,,,14.72,,,7.0,,0.61,2.00,2024,11
Desmond Ridder,LV,10,QB,21,32,192,1,4,16,0,,,,14.68,,,6.0,,0.65,2.00,2024,11
Jameis Winston,CLE,10,QB,21,35,238,1,2,7,0,,,,14.67,,,6.7,,0.60,2.00,2024,11
Will Levis,TEN,5,QB,20,32,186,1,4,12,0,,,,12.44,,,5.8,,0.63,2.00,2024,11
Trey Lance,DAL,7,QB,8,13,89,1,5,24,1,,,,11.37,,,7.1,,0.65,0.80,2024,11
Cooper Rush,DAL,7,QB,10,19,106,1,2,4,0,,,,7.69,,,5.6,,0.55,2.00,2024,11
Spencer Rattler,NO,12,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.65,0.00,2024,11
Andy Dalton,CAR,11,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.62,0.00,2024,11
Gardner Minshew II,LV,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.63,0.00,2024,11
Jacoby Brissett,NE,14,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.63,0.00,2024,11
Justin Fields,PIT,9,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.62,0.00,2024,11
Josh Johnson,BAL,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.62,0.00,2024,11
Malik Willis,GB,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.62,0.00,2024,11
Clayton Tune,ARI,11,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.63,0.00,2024,11
Jimmy Garoppolo,LAR,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.8,,0.65,0.00,2024,11
Joshua Dobbs,SF,9,QB,0,0,0,0,0,0,0,,,,0.00,,,7.6,,0.62,0.00,2024,11
Carson Wentz,KC,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.63,0.00,2024,11
Sam Howell,SEA,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.65,0.00,2024,11
Michael Penix Jr.,ATL,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.66,0.00,2024,11
Dorian Thompson-Robinson,CLE,10,QB,0,0,0,0,0,0,0,,,,0.00,,,7.2,,0.60,0.00,2024,11
Anthony Richardson,IND,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.4,,0.66,0.00,2024,11
Nick Mullens,MIN,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.63,0.00,2024,11
Jarrett Stidham,DEN,14,QB,0,0,0,0,0,0,0,,,,0.00,,,7.6,,0.61,0.00,2024,11
Mason Rudolph,TEN,5,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.61,0.00,2024,11
Trevor Lawrence,JAC,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.62,0.00,2024,11
Kenny Pickett,PHI,5,QB,0,0,0,0,0,0,0,,,,0.00,,,7.3,,0.63,0.00,2024,11
Kyle Trask,TB,11,QB,0,0,0,0,0,0,0,,,,0.00,,,6.9,,0.62,0.00,2024,11
Marcus Mariota,WAS,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.63,0.00,2024,11
Jake Browning,CIN,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.4,,0.65,0.00,2024,11
Davis Mills,HOU,14,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.63,0.00,2024,11
Skylar Thompson,MIA,6,QB,0,0,0,0,0,0,0,,,,0.00,,,7.5,,0.63,0.00,2024,11
Drew Lock,NYG,11,QB,0,0,0,0,0,0,0,,,,0.00,,,6.7,,0.63,0.00,2024,11
Tyrod Taylor,NYJ,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.1,,0.63,0.00,2024,11
Mitch Trubisky,BUF,12,QB,0,0,0,0,0,0,0,,,,0.00,,,7.0,,0.63,0.00,2024,11
Tyson Bagent,CHI,7,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.61,0.00,2024,11
Easton Stick,LAC,5,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.62,0.00,2024,11
Hendon Hooker,DET,5,QB,0,0,0,0,0,0,0,,,,0.00,,,6.8,,0.60,0.00,2024,11
Kyler Murray,ARI,11,QB,-1,-3,-1,0,0,0,0,,,,-0.83,,,0.4,,0.43,1.00,2024,11
Bryce Young,CAR,11,QB,-4,-4,5,0,0,0,0,,,,-1.71,,,-1.3,,0.88,2.00,2024,11
Baker Mayfield,TB,11,QB,1,0,0,0,0,0,0,,,,-2.00,,,0.3,,3.55,2.00,2024,11
Daniel Jones,NYG,11,QB,1,7,-7,0,-1,-7,0,,,,-2.22,,,-1.1,,0.14,1.00,2024,11
Christian McCaffrey,SF,9,RB,,,,,23,128,1.00,5,48,0.25,30.13,9.7,5.653787879,,0.83,,,2024,11
Joe Mixon,HOU,14,RB,,,,,27,128,1.25,3,32,0.25,28.00,10.7,4.772354949,,0.75,,,2024,11
Saquon Barkley,PHI,5,RB,,,,,25,151,1.02,3,20,0.00,26.27,6.8,6.116949153,,0.75,,,2024,11
Alvin Kamara,NO,12,RB,,,,,19,86,0.75,6,49,0.25,25.47,8.1,4.583739837,,1.00,,,2024,11
Kyren Williams,LAR,6,RB,,,,,23,97,1.50,3,22,0.00,23.91,7.2,4.223728814,,1.00,,,2024,11
Breece Hall,NYJ,12,RB,,,,,23,100,0.75,4,36,0.25,23.70,9.0,4.44011976,,0.80,,,2024,11
Bijan Robinson,ATL,12,RB,,,,,16,77,0.50,5,43,0.25,21.52,8.5,4.7,,1.00,,,2024,11
De'Von Achane,MIA,6,RB,,,,,15,71,0.50,5,36,0.25,20.12,7.1,4.731007752,,0.83,,,2024,11
Jonathan Taylor,IND,14,RB,,,,,22,101,1.00,2,19,0.00,20.04,9.7,4.519354839,,0.67,,,2024,11
Jahmyr Gibbs,DET,5,RB,,,,,13,79,0.75,3,29,0.25,19.89,9.8,6.099003322,,0.60,,,2024,11
Kenneth Walker III,SEA,10,RB,,,,,15,66,1.00,4,30,0.00,19.63,7.5,4.358035714,,0.67,,,2024,11
Nick Chubb,CLE,10,RB,,,,,22,116,1.00,1,8,0.00,19.40,7.9,5.245985401,,0.33,,,2024,11
D'Andre Swift,CHI,7,RB,,,,,19,82,0.75,3,29,0.00,18.63,9.7,4.3375,,0.75,,,2024,11
Chase Brown,CIN,12,RB,,,,,16,77,0.50,4,23,0.25,18.54,5.7,4.938095238,,0.80,,,2024,11
David Montgomery,DET,5,RB,,,,,17,73,1.25,2,17,0.00,18.50,8.5,4.399003322,,0.40,,,2024,11
Josh Jacobs,GB,10,RB,,,,,20,101,0.75,2,13,0.00,17.92,6.6,5.046153846,,0.67,,,2024,11
Travis Etienne Jr.,JAC,12,RB,,,,,16,71,1.00,2,17,0.00,16.89,8.6,4.546078431,,0.67,,,2024,11
Kareem Hunt,KC,6,RB,,,,,19,85,1.00,1,8,0.00,16.31,7.8,4.569565217,,0.25,,,2024,11
J.K. Dobbins,LAC,5,RB,,,,,16,72,0.75,3,15,0.00,16.21,5.1,4.501320132,,0.75,,,2024,11
James Cook,BUF,12,RB,,,,,15,59,0.50,4,32,0.00,16.10,8.1,3.953658537,,0.80,,,2024,11
Derrick Henry,BAL,14,RB,,,,,18,97,1.00,0,0,0.00,15.70,9.3,5.324390244,,0.00,,,2024,11
Rhamondre Stevenson,NE,14,RB,,,,,18,72,0.50,3,24,0.00,15.61,7.9,4.00620155,,0.60,,,2024,11
Rico Dowdle,DAL,7,RB,,,,,15,68,0.25,3,24,0.00,13.66,8.2,4.580851064,,0.75,,,2024,11
Aaron Jones,MIN,6,RB,,,,,14,66,0.50,2,15,0.00,13.22,7.7,4.61147541,,0.67,,,2024,11
Jaylen Warren,PIT,9,RB,,,,,10,33,0.25,3,28,0.25,12.08,9.4,3.27962963,,0.60,,,2024,11
Tony Pollard,TEN,5,RB,,,,,14,56,0.25,3,18,0.00,11.96,6.1,3.996551724,,0.50,,,2024,11
Alexander Mattison,LV,10,RB,,,,,13,50,0.50,2,16,0.00,11.60,8.1,3.701709402,,0.40,,,2024,11
Brian Robinson Jr.,WAS,14,RB,,,,,11,52,0.75,1,7,0.00,11.46,7.4,4.650192308,,0.25,,,2024,11
Najee Harris,PIT,9,RB,,,,,12,40,0.50,2,19,0.00,10.97,9.6,3.47962963,,0.40,,,2024,11
Austin Ekeler,WAS,14,RB,,,,,6,30,0.25,3,22,0.00,9.68,7.2,4.950192308,,0.75,,,2024,11
Audric Estime,DEN,14,RB,,,,,15,64,0.25,1,6,0.00,9.51,5.9,4.262068966,,0.17,,,2024,11
Samaje Perine,KC,6,RB,,,,,1,5,0.00,3,30,0.50,9.47,9.8,4.669565217,,0.75,,,2024,11
Raheem Mostert,MIA,6,RB,,,,,10,43,0.50,1,6,0.00,9.01,6.2,4.331007752,,0.17,,,2024,11
Tyjae Spears,TEN,5,RB,,,,,6,22,0.25,3,20,0.00,8.78,6.8,3.696551724,,0.50,,,2024,11
Javonte Williams,DEN,14,RB,,,,,4,16,0.00,3,17,0.25,7.86,5.8,4.062068966,,0.50,,,2024,11
Gus Edwards,LAC,5,RB,,,,,10,40,0.25,1,5,0.00,7.02,5.0,4.001320132,,0.25,,,2024,11
Justice Hill,BAL,14,RB,,,,,3,12,0.00,2,19,0.25,6.67,9.6,4.124390244,,1.00,,,2024,11
Zach Charbonnet,SEA,10,RB,,,,,3,11,0.25,2,15,0.00,6.09,7.4,3.658035714,,0.33,,,2024,11
Ameer Abdullah,LV,10,RB,,,,,1,4,0.00,3,23,0.00,5.78,7.7,4.301709402,,0.60,,,2024,11
Braelon Allen,NYJ,12,RB,,,,,5,20,0.25,1,7,0.00,5.28,7.3,4.04011976,,0.20,,,2024,11
Jerome Ford,CLE,10,RB,,,,,3,16,0.00,2,15,0.00,5.16,7.7,5.445985401,,0.67,,,2024,11
Tyler Allgeier,ATL,12,RB,,,,,8,36,0.25,0,0,0.00,5.07,7.9,4.5,,0.00,,,2024,11
Cam Akers,MIN,6,RB,,,,,8,31,0.00,1,6,0.00,4.74,5.9,3.91147541,,0.33,,,2024,11
Antonio Gibson,NE,14,RB,,,,,2,8,0.00,2,18,0.00,4.70,9.1,4.20620155,,0.40,,,2024,11
